Name,Developer,Star,Rating,Price
Candy Crush Saga,King,4.6, 631.2K Ratings,Free,
Candy Crush Friends Saga,King,4.8, 254.9K Ratings,Free,
Candy Crush Soda Saga,King,4.5, 53.9K Ratings,Free,
Farm Heroes Saga,King,4.5, 13.8K Ratings,Free,
Candy Crush Jelly Saga,King,4.5, 16.8K Ratings,Free,
Pet Rescue Saga,King,4.6, 9.5K Ratings,Free,
Bubble Witch 3 Saga,King,4.6, 51.2K Ratings,Free,
Block Puzzle Jewel Legend,Yan Yuliang,4.4, 10.2K Ratings,Free,
Zombie Tsunami,Mobigame,4.4, 2.5K Ratings,Free,
Flow Free,Big Duck Games LLC,4.6, 13.1K Ratings,Free,
Cookie Jam Matching Game,Jam City Inc.,4.7, 96.1K Ratings,Free,
Ludo King,Gametion,4.1, 4.4K Ratings,Free,
aa,General Adaptive Apps Pty Ltd,3.8, 3.3K Ratings,Free,
